CourseId	Name	Description	Rating	SportId	TeacherId
90	Unlock Your Double Hander - Two Handed Backhand Blueprint	Learn How To Get That Solid & Reliable Double Handed Tennis Backhand To Hit Through Like Your Favourite ATP Tennis Pro	4.8		
91	The Complete Course on Sports Sponsorship	A Detailed Look at How Sports Sponsorships Work and Their Effect on the Sports Industry	4.4		
92	Break 100 in Golf and Transform Your Golf Game	The Complete Golf Training Course for Average Golfers	4.2		
93	How to Watch American Football	Feel left out when people are talking sports? This course will provide you with an overview of the game & terminology.	2.5		
94	Mental training - how to coach athletes mental performance	Our goal is to take full advantage of athletes’ potential and help them be the best they can be and progress daily!	4.2		
95	Flexibility Routines for Runners	Develop Flexibility for Consistent Performance at your Activity	4.5		
96	Skydiving first jump course AFF	Learn how to Skydive. Basic training first jump course AFF (Accelerated FreeFall).	5.0		
97	Soccer: coaching in action	A practical guide for every coach	4.4		
98	The Disc Golf Course: The complete course for beginners	Learn Disc Golf from basics to advanced level and get more fun out of this great outdoor sport.	4.5		
99	Trained Therapists Treatment Course One by Brian Cavill	Exclusively for trained therapists	4.4		
100	Swim WEST from 2.5k swim to open water 10k swim	"Learn and improve your swimming technique, swim longer with no effort and control you pace in long distance swimming."	4.4		
101	"COACHING THE SCRUM IN RUGBY UNION: THE WHAT, WHEN & HOW"	Learn how to form a plan and effectively coach the scrum in rugby union with these practical tips and strategies	4.2		
102	No Nonsense - Practical Sports Psychology	Learn how to maximise your sporting performance	4.5		
103	Coaching Youth Flag Football	"Plays, strategy, and more!"	4.3		
104	Learn English Horse Riding for Beginners	A 2hr 45min complete course showing you all you need to know about English horse riding as a beginner or novice.	4.9		
105	Pool Secrets from a World Champion Part 1	Featuring Ray Martin	4.5		
106	All you need to get your splits fast - 30 Minute Workout.	30 minutes home workout videos which consists of upper body exercises and leg stretches for flexibility.	4.8		
107	"Improve at any sport: train speed, strength, psychology"	"Learn to become good at any sports with: muscle training, speed, quickness and agility training, and sports psychology"	3.4		
